10	0.00
12	0.00
14	0.00
16	0.00
18	0.00
20	0.00
22	0.00
24	0.00
26	0.00
28	0.00
30	0.00
32	0.01
34	0.01
36	0.01
38	0.01
40	0.01
42	0.01
44	0.01
46	0.01
48	0.02
50	0.02
52	0.01
54	0.02
56	0.02
58	0.02
60	0.02
62	0.02
64	0.02
66	0.03
68	0.03
70	0.02
72	0.03
74	0.02
76	0.02
78	0.02
80	0.02
82	0.02
84	0.03
86	0.02
88	0.02
90	0.03
92	0.02
94	0.03
96	0.04
98	0.03
100	0.04
102	0.04
104	0.06
106	0.06
108	0.07
110	0.08
112	0.07
114	0.09
116	0.11
118	0.09
120	0.09
122	0.07
124	0.12
126	0.11
128	0.11
130	0.10
132	0.16
134	0.10
136	0.12
138	0.13
140	0.12
142	0.13
144	0.08
146	0.09
148	0.10
150	0.09
152	0.09
154	0.10
156	0.10
158	0.08
160	0.07
162	0.08
164	0.08
166	0.07
168	0.09
170	0.08
172	0.11
174	0.09
176	0.22
178	0.24
180	0.25
182	0.25
184	0.16
186	0.12
188	0.11
190	0.11
192	0.12
194	0.11
196	0.15
198	0.12
200	0.14
202	0.32
204	0.33
206	0.32
208	0.31
210	0.20
212	0.20
214	0.17
216	0.16
218	0.19
220	0.17
222	0.17
224	0.19
226	0.18
228	0.32
230	0.19
232	0.18
234	0.27
236	0.21
238	0.20
240	0.22
242	0.21
244	0.20
246	0.23
248	0.22
250	0.23
252	0.24
254	0.26
256	0.29
258	0.28
260	0.24
262	0.25
264	0.26
266	0.30
268	0.26
270	0.34
272	0.28
274	0.28
276	0.30
278	0.74
280	0.42
282	0.33
284	0.32
286	0.32
288	0.34
290	0.33
292	0.31
294	0.33
296	0.35
298	0.36
300	0.38
302	0.37
304	0.37
306	0.44
308	0.37
310	0.49
312	0.95
314	0.45
316	0.44
318	0.42
320	0.44
322	1.21
324	0.44
326	0.43
328	0.47
330	0.46
332	0.50
334	0.51
336	0.51
338	0.52
340	0.52
342	0.59
344	0.57
346	0.51
348	0.54
350	0.52
352	0.54
354	0.56
356	0.54
358	0.54
360	0.57
362	0.60
364	0.59
366	0.64
368	1.11
370	0.64
372	0.63
374	0.64
376	0.67
378	0.70
380	0.64
382	0.74
384	0.68
386	0.69
388	0.68
390	0.74
392	0.73
394	0.74
396	0.83
398	1.00
400	0.79
402	0.76
404	0.78
406	0.78
408	0.84
410	0.80
412	0.83
414	0.84
416	1.64
418	0.87
420	0.86
422	0.84
424	0.83
426	0.90
428	0.90
430	0.93
432	0.94
434	0.99
436	0.94
438	0.96
440	0.99
442	0.99
444	1.00
446	1.05
448	1.03
450	1.05
452	1.05
454	1.07
456	1.04
458	1.07
460	1.08
462	1.08
464	1.11
466	1.16
468	1.12
470	1.17
472	1.17
474	1.22
476	1.98
478	1.22
480	1.20
482	1.22
484	1.30
486	1.24
488	1.27
490	1.32
492	1.33
494	1.34
496	1.33
498	1.38
500	1.31
