10 2.3881e-05
15 9.3454e-05
21 0.000296927
27 0.000803966
33 0.00153395
39 0.00355812
45 0.00311161
51 0.0035233
57 0.00542191
63 0.00553788
69 0.0222886
75 0.00939018
81 0.00960756
86 0.0102024
92 0.0179503
98 0.0219034
104 0.0335612
110 0.0323047
116 0.0258937
122 0.0497291
128 0.0493623
134 0.0985317
140 0.138776
146 0.115124
152 0.168678
157 0.165411
163 0.203885
169 0.288136
175 0.237317
181 0.303853
187 0.371507
193 0.390851
199 0.387807
205 0.492357
211 0.531789
217 0.544383
223 0.659767
228 0.670063
234 0.69865
240 0.777223
246 0.849316
252 0.870923
258 0.863006
264 0.896658
270 0.881987
276 0.780248
282 0.943957
288 0.974065
294 0.962023
300 0.964404
