1  4.76217 0.793696
2  4.60517 0.921034
3  4.47734 1.11933
4  4.27667 1.06917
6  3.97029 0.992573
9  3.38439 1.12813
10  3.22684 1.07561
13  2.7213 1.36065
15  2.40695 1.20347
